,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,world_wide_box_office
1775,Rogue One: A Star Wars Story,2016,209040100,200000000,532177324,516925532,PG-13,Science Fiction,Spin-Off,Animation/Live Action,Adventure,0.0,134.0,1049102856
1776,Pirates of the Caribbean: Dead Men Tell No Tales,2016,186210100,230000000,172558876,615682261,PG-13,Fantasy,Based on Theme Park Ride,Live Action,Adventure,1.0,135.0,788241137
1777,The Fate of the Furious,2016,229550100,250000000,225764765,1009081502,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,136.0,1234846267
1778,Jigsaw,2017,265280100,10000000,38052832,64392364,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,91.0,102445196
1779,Lady Bird,2017,298240100,10000000,48958273,29652496,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,93.0,78610769
1780,Insidious: The Last Key,2017,264840100,10000000,67745330,100140258,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,103.0,167885588
1781,"Love, Simon",2017,305710100,10000000,40826341,24694292,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,107.0,65520633
1782,Hereditary,2017,309470100,10000000,44069456,26064449,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0.0,126.0,70133905
1783,Teen Titans Go! To The Movies,2017,298140100,10000000,29790236,21830357,PG,Kids Fiction,Based on TV,Digital Animation,Adventure,0.0,92.0,51620593
1784,Book Club,2017,310060100,10000000,68566296,21126287,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,104.0,89692583
1785,"Everything, Everything",2017,274870100,10000000,34121140,27481996,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,96.0,61603136
1786,"I, Tonya",2017,277700100,11000000,30014534,23782875,R,Dramatization,Based on Real Life Events,Live Action,Black Comedy,0.0,120.0,53797409
1787,Fighting With My Family,2017,313810100,11000000,16214767,2709754,PG-13,Dramatization,Based on Real Life Events,Live Action,Comedy,0.0,107.0,18924521
1788,"Three Billboards Outside Ebbing, Missouri",2017,287080100,12000000,54513740,105678175,R,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0.0,115.0,160191915
1789,Marshall,2017,250110100,12000000,10051659,65157,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,118.0,10116816
1790,Overboard,2017,148240100,12000000,50316123,35053707,PG-13,Contemporary Fiction,Remake,Live Action,Romantic Comedy,0.0,112.0,85369830
1791,The First Purge,2017,282710100,13000000,69488745,67128560,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,97.0,136617305
1792,BlacKkKlansman,2017,303930100,15000000,48686605,41570845,R,Dramatization,Based on Factual Book/Article,Live Action,Thriller/Suspense,0.0,134.0,90257450
1793,Hotel Artemis,2017,326810100,15000000,6708137,6050662,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,97.0,12758799
1794,Superfly,2017,314910100,16000000,20537137,186444,R,Contemporary Fiction,Remake,Live Action,Action,0.0,116.0,20723581
1795,A Quiet Place,2017,285540100,17000000,188024361,146497933,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0.0,95.0,334522294
1796,Action Point,2017,285530100,19000000,5059608,44067,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,84.0,5103675
1797,The Shape of Water,2017,287790100,19500000,63859435,125335785,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,123.0,189195220
1798,Flatliners,2017,264790100,20000000,16883115,28290623,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,1.0,110.0,45173738
1799,Tyler Perry’s Boo 2! A Madea Halloween,2017,291980100,20000000,47319572,560000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,100.0,47879572
1800,Acrimony,2017,295300100,20000000,43549096,3078740,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,120.0,46627836
1801,Suspiria,2017,148810100,20000000,2483472,4203796,R,Historical Fiction,Remake,Live Action,Horror,0.0,152.0,6687268
1802,A Simple Favor,2017,320270100,20000000,53548586,43626331,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,116.0,97174917
1803,Jìyì dàshī,2017,289020100,20000000,587470,43301061,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,119.0,43888531
1804,Thank You for Your Service,2017,285400100,20000000,9479390,505926,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,108.0,9985316
1805,The Star,2017,198220100,20000000,40847995,21910015,PG,Kids Fiction,Based on Religious Text,Digital Animation,Adventure,0.0,86.0,62758010
1806,Blockers,2017,247620100,21000000,60311495,33733833,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,102.0,94045328
1807,Just Getting Started,2017,264800100,22000000,6069605,686807,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,90.0,6756412
1808,"Roman J. Israel, Esq.",2017,298120100,22000000,11962712,1004300,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,129.0,12967012
1809,Chāi dàn zhuānjiā,2017,289010100,23000000,0,58807172,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,119.0,58807172
1810,Battle of the Sexes,2017,241910100,25000000,12638526,5806853,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,121.0,18445379
1811,Beautiful Boy,2017,306500100,25000000,7634767,3954994,R,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0.0,112.0,11589761
1812,Matilda,2017,309270100,25000000,0,9370285,Unknown,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,130.0,9370285
1813,Tag,2017,289510100,28000000,54730625,22295561,R,Contemporary Fiction,Based on Factual Book/Article,Live Action,Comedy,0.0,100.0,77026186
1814,A Bad Moms Christmas,2017,278830100,28000000,72110659,55599891,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,104.0,127710550
1815,Girls Trip,2017,263170100,28000000,115108515,25777838,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,122.0,140886353
1816,Logan Lucky,2017,282680100,29000000,27778642,16485629,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,119.0,44264271
1817,Night School,2017,287420100,29000000,77339130,25669662,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,111.0,103008792
1818,Molly’s Game,2017,251290100,30000000,28780744,24515680,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,140.0,53296424
1819,mother!,2017,251610100,30000000,17800004,24731072,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,108.0,42531076
1820,Life of the Party,2017,265450100,30000000,53059911,12700000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,105.0,65759911
1821,Atomic Blonde,2017,244890100,30000000,51573925,46771498,R,Historical Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0.0,114.0,98345423
1822,Kin,2017,313150100,30000000,5718096,4378725,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0.0,102.0,10096821
1823,Death Wish,2017,287730100,30000000,34017028,14558937,R,Contemporary Fiction,Remake,Live Action,Action,0.0,107.0,48575965
1824,White Boy Rick,2017,229660100,30000000,24004833,1333563,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,111.0,25338396
