,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_list,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,TV_movie,thriller,war,western
12229,[99],298927,en,Warsaw Uprising,1.4,2014-10-31,Warsaw Uprising,10.0,1,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12230,"[35, 27]",279493,en,Catch of the Day,1.4,2014-09-12,Catch of the Day,10.0,2,"['Comedy', 'Horror']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12231,"[10751, 16, 14]",308141,en,Sofia the First: The Curse of Princess Ivy,1.4,2014-11-23,Sofia the First: The Curse of Princess Ivy,9.8,3,"['Family', 'Animation', 'Fantasy']",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12232,[18],393257,en,Si-o-se Pol,1.4,2014-04-17,Si-o-se Pol,9.0,1,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12233,0,312034,en,Seasons of Love,1.4,2014-11-23,Seasons of Love,8.5,1,['none'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12234,"[53, 27]",280381,en,House at the End of the Drive,1.4,2014-01-11,House at the End of the Drive,8.0,1,"['Thriller', 'Horror']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12235,[99],336592,en,The Science of Interstellar,1.4,2014-11-25,The Science of Interstellar,7.8,8,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12236,"[18, 35]",335669,en,Bread and Butter,1.4,2014-10-18,Bread and Butter,7.8,2,"['Drama', 'Comedy']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12237,"[18, 10751]",268860,hi,Hawaa Hawaai,1.4,2014-05-09,Hawaa Hawaai,7.6,9,"['Drama', 'Family']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12238,[35],424432,en,Sofia Coppola's Little Mermaid,1.4,2014-05-06,Sofia Coppola's Little Mermaid,7.6,5,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12239,[35],316590,en,Robert Kelly: Live at the Village Underground,1.4,2014-08-08,Robert Kelly: Live at the Village Underground,7.6,5,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12240,"[10751, 16, 12]",286940,en,The Boxcar Children,1.4,2014-08-05,The Boxcar Children,7.6,10,"['Family', 'Animation', 'Adventure']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12241,[35],375380,en,Tiny Detectives,1.4,2014-09-24,Tiny Detectives,7.4,8,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12242,"[10402, 99]",324277,en,Jaco,1.4,2014-10-06,Jaco,7.4,12,"['Music', 'Documentary']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12243,[99],168164,en,Ekspeditionen til verdens ende,1.4,2014-08-20,The Expedition to the End of the World,7.3,3,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12244,"[16, 14]",276306,en,My Little Pony: Dancing in the Clouds,1.4,2004-12-02,My Little Pony: Dancing in the Clouds,7.3,4,"['Animation', 'Fantasy']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
